_CODE_2016,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
5062,14,11,21,0,40,4,3,4,4,13,8,0,7,3,19,5,3,5,0,19,29,6,28,3,65,18,20,22,9,68,105,15,31,4,159,84,26,33,7,147,143,56,53,15,265,142,76,51,3,270,82,61,30,3,183,83,87,36,3,209,171,181,58,0,413,132,237,17,3,387,89,186,12,0,285,63,168,6,3,237,186,565,9,0,765,115,242,64,3,420,20,5,4,0,30,1489,1953,490,66,3993
5063,15,8,7,6,37,8,6,6,0,19,0,4,5,3,19,8,3,3,0,15,27,6,15,0,51,13,14,33,4,62,76,23,30,4,140,84,23,31,3,146,82,54,44,6,182,98,58,49,3,208,75,53,37,5,157,48,62,32,3,148,155,150,45,9,350,122,136,19,3,279,87,113,4,3,209,55,124,13,3,196,135,326,15,0,479,93,157,35,0,284,8,4,4,0,21,1179,1329,430,53,2992
5064,19,7,19,3,41,4,4,8,4,16,0,4,10,0,22,3,3,3,0,14,31,7,7,0,53,9,9,15,0,34,86,14,20,3,122,61,27,21,0,108,105,38,20,10,173,90,42,16,3,161,41,42,21,3,104,66,35,17,0,127,115,124,26,3,265,102,95,5,3,201,55,111,3,0,171,45,86,14,0,148,140,396,8,4,548,72,199,31,0,301,14,7,0,0,21,1069,1243,284,37,2628
5065,16,15,14,0,40,10,3,7,0,19,4,4,12,3,22,8,5,9,0,20,11,8,18,0,35,17,22,24,0,63,73,21,21,3,124,57,31,24,7,117,101,49,35,3,188,86,57,21,6,165,53,62,27,0,142,40,56,20,0,119,124,116,29,5,272,67,117,6,4,194,59,81,6,0,147,41,91,7,0,144,155,354,7,0,517,78,171,29,0,283,13,4,0,0,19,1016,1260,324,34,2634
5066,20,10,11,0,46,12,3,7,0,16,4,3,9,0,19,3,3,6,0,15,26,6,17,3,56,17,7,26,0,46,85,9,19,0,114,59,30,23,0,117,99,48,32,0,180,100,49,19,3,168,61,57,28,4,146,73,77,16,3,167,122,156,34,3,307,105,159,11,4,279,81,155,3,0,243,55,149,16,0,223,193,545,17,0,762,83,240,51,0,374,12,16,3,0,36,1215,1718,348,28,3318
5067,19,5,6,0,26,10,4,4,3,16,7,4,3,7,24,3,0,10,0,12,17,4,19,0,43,16,8,18,3,50,59,13,30,3,103,52,20,32,4,111,94,28,42,10,174,76,45,20,3,148,59,46,22,0,129,60,42,18,4,123,150,97,29,8,280,111,76,17,0,209,68,70,4,3,150,55,67,8,0,131,164,245,20,3,432,84,96,36,3,223,5,6,3,0,17,1108,884,351,72,2411
5068,25,8,19,0,50,15,8,3,6,24,5,6,13,4,29,8,8,12,0,21,40,8,24,4,77,18,12,34,3,66,129,10,33,10,183,82,39,49,7,181,117,39,44,6,211,88,65,32,5,186,58,53,29,8,146,73,61,25,3,170,144,147,40,5,328,107,119,13,3,246,62,106,11,0,181,41,93,10,0,145,129,358,18,0,509,71,193,53,0,312,10,15,7,0,33,1221,1354,459,66,3104
5069,5,5,12,0,23,5,0,3,0,4,7,3,6,0,18,3,3,12,0,16,27,4,10,0,43,14,9,20,0,46,77,11,19,4,114,51,13,21,9,88,68,28,26,8,125,66,36,28,0,131,48,32,24,4,104,53,30,9,6,103,93,87,29,0,208,68,94,9,7,177,42,96,9,0,142,44,78,7,0,127,120,303,13,4,441,68,144,26,0,235,8,4,8,0,14,862,963,277,42,2144
5070,25,10,5,4,51,12,3,13,4,27,10,10,9,0,30,9,3,11,3,22,71,10,25,4,107,36,22,32,9,99,212,42,47,8,309,110,41,67,16,238,163,88,86,7,343,153,96,59,12,308,71,100,24,7,205,73,84,27,4,192,169,205,30,6,412,91,177,15,3,283,50,139,5,0,195,43,80,3,0,132,72,233,7,0,310,97,161,51,10,317,26,8,8,0,41,1486,1503,526,103,3620
5072,19,11,12,4,43,8,7,4,0,16,6,6,8,4,27,3,0,13,0,19,51,19,23,3,89,26,18,37,3,83,133,27,64,3,223,85,54,49,4,196,134,62,78,7,280,101,70,38,0,207,75,90,32,6,196,72,96,25,4,191,146,188,28,3,365,115,198,17,3,335,68,151,5,3,224,41,96,7,0,149,96,248,3,3,351,86,214,57,0,360,27,5,3,0,32,1281,1551,505,50,3395
