_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
5234,42,1630,640,270,1738,0.8,1371,2.6
5235,48,1300,587,220,1430,0.8,1123,2.3
5236,47,1300,514,238,1375,0.8,1125,2.3
5237,44,1083,508,193,1208,0.8,881,2.3
5238,53,1040,464,190,1022,0.7,804,2.1
5240,46,1400,662,250,1670,0.8,1483,2.6
5241,42,1408,639,285,1507,0.8,1275,2.6
5242,44,1710,708,310,1866,0.8,1561,2.6
5243,47,1950,749,300,2008,0.7,1617,2.5
5244,43,1541,658,290,1690,0.8,1394,2.6
5245,49,1733,645,310,1908,0.8,1488,2.5
5250,39,1733,749,330,2017,0.8,1787,2.8
5251,38,1638,646,310,1636,0.8,1315,2.5
5252,35,1517,708,300,1709,0.8,1476,2.7
5253,40,1170,517,220,1191,0.8,945,2.4
5254,43,1200,589,185,1413,0.8,1255,2.6
5255,45,1517,580,270,1417,0.8,1189,2.5
5256,53,1083,461,225,1090,0.7,824,2.1
5259,47,1083,493,100,1173,0.8,1012,2.4
5260,48,867,468,190,1074,0.7,798,2.2
5261,43,800,539,69,1402,0.8,1055,2.4
5262,43,867,705,100,1458,0.7,1221,2.4
5263,48,1000,913,25,1916,0.7,1678,2.3
5264,52,1000,498,150,1143,0.7,902,2.2
5265,42,687,507,100,1267,0.7,956,2.3
5266,38,997,669,100,1420,0.7,1279,2.4
5267,41,867,661,120,1424,0.7,1174,2.4
5268,42,1000,653,180,1403,0.7,1149,2.4
5269,46,737,515,100,1104,0.7,890,2.6
5270,44,1200,708,163,1625,0.8,1364,2.6
5271,41,1083,649,190,1416,0.8,1197,2.4
5272,45,780,694,85,1433,0.7,1262,2.3
5273,39,1000,716,0,1437,0.7,1187,2.4
5275,50,1040,563,163,1212,0.7,967,2.2
5276,52,1300,633,201,1413,0.6,1034,2
5277,44,867,602,160,1361,0.8,1077,2.3
5278,45,672,502,138,1125,0.8,968,2.5
5279,45,520,523,130,1179,0.7,963,2.4
5280,47,1000,515,150,1291,0.7,981,2.3
5290,40,1152,583,190,1371,0.8,1034,2.3
5291,42,1362,687,170,1740,0.8,1454,2.7
5301,47,542,520,55,1096,0.7,988,2.4
