_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
5158,4,3,15,11,15,61,129,99,68,405,0,0,3,0,8,3,12,9,4,38,37,53,93,94,143,170,106,87,64,843,652,1465,3113,3502,3571,3650,2039,756,305,19060
5159,5,4,16,13,23,70,177,167,141,622,0,0,7,3,0,6,8,3,6,36,47,62,118,154,172,187,168,131,85,1135,863,1925,3644,4257,4715,4784,3387,1431,693,25704
5160,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,6,3,9,0,0,22
5161,3,0,12,14,22,27,103,92,86,364,0,0,3,3,0,0,0,10,0,19,18,18,51,56,51,45,60,62,61,421,230,597,1546,1290,1233,1246,1079,536,274,8032
5162,7,14,26,30,57,151,383,277,173,1112,0,4,8,6,17,23,13,22,5,90,77,96,233,195,236,239,319,274,186,1860,870,2158,4553,4289,4551,4182,3681,1750,687,26730
5163,8,6,24,28,38,76,181,107,88,554,3,0,8,3,0,5,7,8,9,42,37,48,85,98,105,141,150,93,31,809,355,887,1816,1760,1871,1933,1517,590,301,11033
5164,5,8,7,9,10,33,83,60,31,247,0,0,4,5,3,3,4,4,0,20,34,33,46,78,69,81,100,70,24,543,143,326,660,654,621,599,634,324,141,4103
5165,0,0,4,8,10,20,45,47,35,162,0,0,0,4,3,3,0,0,0,10,27,40,54,68,68,66,76,84,78,562,139,410,699,619,696,614,531,400,198,4300
5166,0,0,9,7,7,20,34,16,3,91,0,0,0,0,0,0,0,0,0,0,3,5,22,10,12,14,29,12,0,123,40,118,236,211,240,261,274,113,18,1515
5167,0,0,9,5,12,11,45,34,17,138,0,0,0,0,3,3,4,0,0,8,13,12,43,70,48,51,64,64,74,446,141,305,627,790,802,786,622,333,152,4553
5168,0,5,7,14,14,28,76,27,18,182,0,3,0,0,0,3,5,0,0,11,6,28,55,41,42,35,62,25,3,312,109,367,801,704,707,712,549,213,58,4227
5169,4,9,10,10,18,54,122,88,62,376,0,3,3,5,3,5,7,0,0,28,53,50,146,131,124,125,103,128,79,936,434,1124,2519,2297,2111,1829,1398,730,355,12799
5170,0,0,0,0,4,3,6,4,3,20,0,0,0,0,0,0,0,0,0,5,5,3,6,3,6,19,4,15,0,66,31,53,132,151,192,183,96,67,19,919
5171,0,3,0,4,5,13,52,70,44,192,0,0,0,0,0,0,0,4,0,3,19,12,21,44,47,62,54,59,77,387,151,250,394,728,905,840,787,426,216,4693
5172,0,0,0,4,8,14,22,16,11,64,0,0,0,0,0,0,0,0,0,8,16,8,23,24,49,37,32,15,7,221,104,184,266,526,629,620,426,219,56,3042
5173,5,3,9,6,12,43,78,80,48,293,0,3,3,3,4,4,3,3,0,23,45,48,129,121,146,132,127,92,48,887,327,670,1634,1709,1682,1392,1148,557,207,9336
5174,0,0,4,3,10,9,33,9,9,69,0,0,0,0,0,3,0,0,0,8,7,10,36,32,29,38,28,13,0,190,77,154,378,375,480,392,281,83,18,2233
