_CODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
5083,296,1162,1023,318,111,2911,107,3020
5084,525,1393,983,285,166,3352,160,3513
5085,604,2817,2619,644,245,6932,199,7129
5086,601,2474,2163,552,217,6002,183,6184
5087,438,1945,1592,358,126,4461,142,4601
5088,142,514,469,114,57,1290,44,1328
5089,55,588,1116,330,182,2279,57,2335
5090,252,1307,1013,293,147,3019,100,3120
5091,102,838,1216,400,204,2756,53,2809
5092,346,2424,2585,732,374,6460,155,6611
5093,177,1289,1349,374,150,3348,86,3432
5094,19,124,113,34,20,318,4,322
5095,434,2820,2912,769,331,7270,163,7429
5096,263,1690,1834,645,326,4762,135,4897
5097,224,1796,2080,698,283,5086,99,5187
5098,309,1746,1741,471,195,4462,142,4599
5106,10,0,0,0,0,10,3,15
5107,398,1925,2184,757,365,5623,188,5812
5108,1308,5404,4843,1587,746,13894,547,14442
5109,510,2890,2747,949,467,7558,233,7790
5110,106,916,1181,438,202,2844,88,2933
5111,0,0,0,0,0,0,0,0
5112,1240,2984,1962,571,300,7066,414,7479
5113,1139,3066,1785,505,152,6645,366,7006
5114,604,3778,4531,1431,726,11071,342,11417
5115,193,1272,1475,334,174,3457,116,3571
5116,247,1436,1289,381,191,3539,104,3645
5117,14,154,353,195,159,872,17,889
5118,441,2156,2515,970,588,6673,204,6879
5120,15,168,245,115,91,630,25,660
5121,29,205,194,86,79,594,22,613
5125,260,2259,2854,968,520,6860,140,6996
5126,74,778,1204,374,190,2623,41,2664
5127,141,882,1198,434,227,2880,74,2949
5131,0,37,140,73,71,320,7,326
5132,0,20,73,24,22,135,7,142
5133,3,16,48,31,24,117,0,120
5134,0,29,61,29,15,144,3,145
5136,4,33,74,31,15,162,8,168
5137,3,33,83,39,37,195,3,194
5138,0,18,37,28,14,104,3,106
5139,0,24,39,16,6,81,3,86
5140,0,27,80,20,14,147,3,150
