_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
5069,63,50,110,173,218,386,54,51,102,95,79,173,318,343,664,53,49,102,50,54,102,182,87,263,289,185,474,8,3,12,18,16,35,9,7,19,20,39,56,0,0,0,49,67,114,221,212,432,105,84,191,17,16,34,62,71,127,3,0,3,402,384,787,8,8,20,11,22,32,0,0,0,22,30,54,208,197,409,1350,1253,2604
5070,81,75,160,369,316,686,123,113,230,53,52,103,539,477,1019,159,133,294,95,88,182,76,74,153,325,301,630,32,21,48,29,52,84,19,19,36,41,52,95,0,0,0,122,144,268,320,341,664,130,146,281,22,23,45,69,121,188,3,0,5,540,637,1177,15,20,38,27,48,77,0,0,0,44,70,116,293,355,639,1950,2058,4006
5072,83,70,151,353,332,688,127,117,240,71,81,150,548,527,1075,216,157,374,152,93,249,94,97,197,467,350,818,21,23,45,20,41,56,15,16,29,42,55,102,0,0,0,102,132,230,247,286,537,100,136,235,26,25,51,75,85,165,3,8,12,455,543,1000,10,21,32,21,38,56,0,0,0,32,53,89,258,277,532,1944,1957,3904
5073,103,101,207,428,357,781,193,200,396,58,41,94,677,596,1271,297,220,522,151,123,280,65,51,111,512,393,911,35,23,52,27,45,76,22,25,42,42,64,102,0,0,0,129,153,284,295,302,593,89,132,219,20,25,43,52,105,159,0,0,0,454,561,1014,13,15,30,12,39,52,0,0,0,22,57,82,310,310,615,2208,2172,4381
5074,99,67,167,364,311,673,176,139,316,27,31,58,566,484,1053,205,160,360,111,109,222,33,25,56,350,288,643,28,20,53,18,43,59,19,16,39,45,63,104,0,0,0,115,142,256,192,199,390,90,85,174,24,16,44,52,73,129,0,0,0,358,377,736,9,19,28,25,48,73,0,0,0,38,67,102,313,321,629,1840,1745,3584
5075,61,57,122,264,264,529,141,127,273,37,35,71,446,430,878,134,123,259,106,107,218,43,47,88,283,276,557,17,22,38,16,28,44,22,12,33,28,47,74,0,0,0,78,103,183,169,184,359,63,61,127,17,20,35,36,56,93,4,0,4,289,326,618,7,10,19,19,23,41,0,0,0,34,33,66,218,228,438,1415,1457,2873
5076,49,49,103,232,226,453,136,138,271,31,27,54,395,386,785,140,127,264,149,131,281,21,40,69,316,298,615,13,15,29,11,11,16,19,12,28,22,39,63,0,0,3,71,74,138,150,167,323,27,37,66,21,24,50,34,66,101,0,0,0,237,301,535,3,8,13,21,23,40,0,0,0,22,28,54,134,112,244,1218,1257,2471
5081,62,54,121,184,175,363,50,62,114,105,135,245,343,377,720,56,44,95,56,64,120,160,210,370,271,313,589,10,16,20,9,15,25,4,6,13,14,23,45,0,0,3,46,60,105,228,230,456,70,77,147,20,22,35,57,60,119,0,0,5,379,389,766,8,16,25,19,28,47,0,0,0,27,44,74,261,261,522,1381,1504,2883
5082,114,94,208,347,295,646,227,192,414,84,82,170,658,571,1232,118,100,218,185,156,342,95,65,164,398,327,725,42,23,62,32,41,74,23,20,47,49,78,129,0,0,0,150,161,317,358,353,708,135,115,249,37,47,84,95,118,214,0,0,3,625,627,1252,22,12,40,26,27,56,0,0,0,52,45,98,393,386,780,2392,2217,4613
5083,53,53,106,198,182,382,84,96,178,34,40,75,320,316,638,62,42,103,81,87,168,51,48,100,196,176,369,3,5,10,9,19,29,17,6,24,27,47,68,0,0,0,58,75,135,164,120,289,60,49,110,14,28,40,49,75,121,0,0,0,285,265,554,4,11,17,21,28,48,0,0,4,32,39,63,161,187,348,1101,1116,2214
