_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
5096,1309,2623,29,156,159,778,44,211,823,3209,1048,4349,96,400,143,490,354,1112,585,2002,1638,6347,12,46,47,168,23,72,257,683,333,974,40,118,58,136,235,509,334,763,665,1740,45,103,3661,10807
5097,1593,3156,17,110,141,633,39,178,824,3120,1019,4038,122,503,128,439,341,1070,598,2016,1619,6055,10,38,39,125,12,32,222,596,284,793,28,78,83,182,224,490,333,746,609,1534,47,104,3872,10856
5098,1320,2633,27,168,127,595,37,155,754,2895,940,3809,77,340,100,325,274,868,453,1536,1389,5347,13,57,52,183,19,70,205,554,286,863,26,88,53,122,236,505,316,720,601,1580,65,132,3375,9690
5106,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
5107,1370,2732,47,262,215,1058,54,268,1156,4517,1469,6104,134,590,170,598,452,1465,750,2652,2227,8754,10,54,64,260,51,176,347,973,470,1465,42,142,68,177,353,791,467,1109,937,2575,80,172,4614,14239
5108,3108,6281,104,631,447,2308,145,690,2379,9385,3079,13012,214,932,314,1069,953,3113,1475,5116,4555,18123,51,244,192,736,116,433,1087,2979,1450,4396,110,375,235,535,888,1934,1238,2851,2687,7245,193,405,10542,32056
5109,2115,4203,48,306,229,1114,81,380,1106,4349,1471,6147,138,584,200,660,530,1700,856,2946,2330,9094,20,85,81,296,47,175,466,1241,612,1808,61,199,103,225,401,878,566,1299,1173,3106,93,191,5713,16596
5110,799,1612,20,111,110,560,47,237,607,2362,784,3276,43,175,57,195,182,585,280,956,1066,4233,9,39,31,132,21,95,223,640,286,901,19,81,38,91,125,301,187,467,473,1374,17,44,2363,7254
5111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5112,1494,2974,36,231,206,1066,64,325,846,3402,1159,5023,100,432,123,412,365,1188,586,2030,1745,7056,24,100,98,405,68,243,540,1490,727,2237,46,145,108,234,448,976,597,1351,1325,3589,110,225,4671,13845
5113,1316,2643,21,118,141,789,63,301,780,3206,1002,4414,60,271,70,238,289,929,415,1437,1418,5845,30,136,106,438,80,285,815,2367,1033,3225,31,110,107,250,443,962,586,1320,1614,4547,129,276,4475,13314
