Name,Zip,Price
Gawler West,5118," $242,129 "
Elizabeth East,5112," $236,018 "
Smithfield,5114," $235,126 "
Smithfield Plains,5114," $225,997 "
Elizabeth Park,5113," $213,970 "
Elizabeth Grove,5112," $212,495 "
Davoren Park,5113," $212,128 "
Elizabeth North,5113," $201,220 "
Elizabeth,5112," $200,667 "
Elizabeth Downs,5113," $200,076 "
Elizabeth South,5112," $186,305 "
Welland,5007," $185,000 "
Hillier,5116," $162,994 "
Colonel Light Gardens,5041," $137,508 "
