"","zipcode","suburb","lat","long"
"231","5081","MEDINDIE GARDENS",-34.892171891293,138.606043444673
"232","5081","VALE PARK",-34.8860526341571,138.62714371094
"233","5081","WALKERVILLE",-34.8918880390246,138.617849125077
"234","5082","FITZROY",-34.896937294158,138.59128620839
"235","5082","OVINGHAM",-34.898588675733,138.585262585505
"236","5082","PROSPECT",-34.8827269160708,138.592848271264
"237","5082","THORNGATE",-34.8973701421202,138.596794800936
"238","5083","BROADVIEW",-34.8759405902126,138.61501312196
"239","5085","NORTHFIELD",-34.8483769395947,138.626128939667
"240","5085","NORTHGATE",-34.8525789303182,138.631215501456
"241","5086","GILLES PLAINS",-34.8500462051108,138.65907603991
"242","5086","GREENACRES",-34.8686077907021,138.628140487062
"243","5086","HAMPSTEAD GARDENS",-34.8744840948496,138.628798962251
"244","5086","HILLCREST",-34.8625205960168,138.643057766566
"245","5086","MANNINGHAM",-34.8771956026212,138.621952369012
"246","5086","OAKDEN",-34.8527763228674,138.643288880963
"247","5087","KLEMZIG",-34.8789647366498,138.638607428205
"248","5083","NAILSWORTH",-34.8843677773108,138.606186702812
"249","5083","SEFTON PARK",-34.8762114464462,138.606503523753
"250","5084","BLAIR ATHOL",-34.8592465026231,138.596541570531
"251","5084","KILBURN",-34.859683835003,138.585578550579
"252","5085","CLEARVIEW",-34.8573929768867,138.613768729442
"253","5085","ENFIELD",-34.8606483838852,138.60538246154
"254","5085","LIGHTSVIEW",-34.8619542950943,138.627320808445
"255","5088","HOLDEN HILL",-34.8516120489548,138.672307360247
"256","5089","HIGHBURY",-34.8520606376563,138.717872313109
"257","5090","HOPE VALLEY",-34.8453763767763,138.696017634299
"258","5091","BANKSIA PARK",-34.8105287845973,138.730569467417
"259","5091","TEA TREE GULLY",-34.8239319979443,138.733292137686
"260","5091","VISTA",-34.8358400531521,138.73090381535
"261","5092","MODBURY",-34.8339052108617,138.685108697125
"262","5092","MODBURY HEIGHTS",-34.8120800432003,138.682338886347
"263","5092","MODBURY NORTH",-34.8231637451117,138.681079413575
"264","5093","PARA VISTA",-34.8283946454805,138.662777602722
"265","5093","VALLEY VIEW",-34.8399403867692,138.660716430102
"266","5094","CAVAN",-34.8256577150357,138.599510884612
"267","5094","DRY CREEK",-34.8149117088483,138.567145089704
"268","5094","GEPPS CROSS",-34.8424030526558,138.604394300124
"269","5095","MAWSON LAKES",-34.8104719133798,138.611173359982
"270","5095","POORAKA",-34.8257085861472,138.6228688662
"271","5096","GULFVIEW HEIGHTS",-34.7955754083612,138.669359296335
"272","5096","PARA HILLS",-34.8117526544926,138.655591973407
"273","5096","PARA HILLS WEST",-34.8034756373552,138.64436271882
"274","5114","ANDREWS FARM",-34.6749548039177,138.65949440266
"275","5114","BLAKEVIEW",-34.6756349417303,138.710050748538
"276","5114","CRAIGMORE",-34.7006458950978,138.70954625134
"277","5114","GOULD CREEK",-34.7440475016715,138.72894222839
"278","5114","HUMBUG SCRUB",-34.7209998261491,138.814335953055
"279","5114","ONE TREE HILL",-34.7167459151575,138.749195307024
"280","5115","MUNNO PARA WEST",-34.6572730879238,138.66979653644
"281","5116","EVANSTON",-34.6165827014311,138.733698175521
"282","5116","EVANSTON GARDENS",-34.6281195946916,138.719932179893
"283","5116","EVANSTON PARK",-34.6290994365714,138.748392988715
"284","5116","EVANSTON SOUTH",-34.6480704964344,138.72604593111
"285","5116","HILLIER",-34.6233671435265,138.694904246363
"286","5117","ANGLE VALE",-34.6385885409587,138.649757294493
"287","5118","BUCHFELDE",-34.609665407697,138.705034728554
"288","5118","CONCORDIA",-34.5793365830694,138.792957214716
"289","5118","GAWLER",-34.5973517622251,138.744879694846
"290","5118","GAWLER BELT",-34.5719819682007,138.728798049278
"291","5108","PARALOWIE",-34.7570598860926,138.608124212509
"292","5108","SALISBURY",-34.7640513305414,138.641861980915
"293","5109","SALISBURY PARK",-34.7587222305013,138.668228776922
"294","5109","SALISBURY PLAIN",-34.767413133808,138.660622142315
"295","5110","BOLIVAR",-34.7712500741042,138.57393598028
"296","5110","BURTON",-34.737698435167,138.600084504713
"297","5110","DIREK",-34.7234400598264,138.609115124831
"298","5110","GLOBE DERBY PARK",-34.7878074297265,138.589319575416
"299","5110","ST KILDA",-34.7474716506643,138.551977891176
"300","5108","SALISBURY DOWNS",-34.7717850682351,138.624328469437
"301","5108","SALISBURY NORTH",-34.7459515807818,138.627643034052
"302","5109","BRAHMA LODGE",-34.7758959391952,138.653066412348
"303","5109","SALISBURY EAST",-34.7810602893736,138.67279505043
"304","5109","SALISBURY HEIGHTS",-34.7628021898641,138.683718562577
"305","5114","SAMPSON FLAT",-34.749011898274,138.791555182231
"306","5114","SMITHFIELD",-34.684860700331,138.686226927531
"307","5114","SMITHFIELD PLAINS",-34.6767681127402,138.676826121944
"308","5114","ULEYBURY",-34.6749653293207,138.745187294346
"309","5114","YATTALUNGA",-34.680607619019,138.80053853635
"310","5115","KUDLA",-34.6410124412847,138.704149869661
"311","5115","MUNNO PARA",-34.6655919969316,138.690003510633
"312","5115","MUNNO PARA DOWNS",-34.6474083950399,138.686097455871
"313","5087","WINDSOR GARDENS",-34.8655385082165,138.654345310458
"314","5097","REDWOOD PARK",-34.8115540274203,138.706945455103
"315","5097","RIDGEHAVEN",-34.8212595902783,138.70465984753
"316","5097","ST AGNES",-34.8307459497761,138.71074278223
"317","5098","INGLE FARM",-34.8275937936277,138.645445005839
"318","5098","WALKLEY HEIGHTS",-34.8400934688861,138.636995473945
"319","5106","PARAFIELD",-34.7961316546232,138.631090970221
"320","5106","SALISBURY SOUTH",-34.7827852997981,138.642953900756
"321","5107","GREEN FIELDS",-34.7949660362295,138.603500889188
"322","5107","PARAFIELD GARDENS",-34.782564107047,138.610720466927
"323","5112","HILLBANK",-34.7351632723919,138.68728829504
"324","5113","DAVOREN PARK",-34.6910811796805,138.668395857493
"325","5113","EDINBURGH NORTH",-34.7043284895298,138.658122106966
"326","5113","ELIZABETH DOWNS",-34.6993407996528,138.693638746804
"327","5113","ELIZABETH NORTH",-34.7008543548484,138.676974545245
"328","5113","ELIZABETH PARK",-34.7123285679094,138.685211419534
"329","5118","BIBARINGA",-34.6411725393137,138.767335874234
"330","5118","GAWLER EAST",-34.6026845349592,138.764417871338
"331","5118","GAWLER RIVER",-34.6102840582259,138.64774546656
"332","5118","GAWLER SOUTH",-34.6113711723495,138.749841624777
"333","5118","GAWLER WEST",-34.6043950823683,138.734009392772
"334","5118","HEWETT",-34.5780178290511,138.75241567548
"335","5118","KALBEEBA",-34.6250328774901,138.792893592126
"336","5118","WILLASTON",-34.5863570960654,138.741151322271
"337","5120","BUCKLAND PARK",-34.6840489360752,138.506645474111
"338","5120","VIRGINIA",-34.6626332559857,138.571328792223
"339","5121","MACDONALD PARK",-34.6700155284736,138.640769873313
"340","5121","PENFIELD",-34.691356690354,138.623627145871
"341","5118","KANGAROO FLAT",-34.5490021116265,138.693249495426
"342","5118","KINGSFORD",-34.5481987205131,138.789380263802
"343","5118","REID",-34.601015261776,138.729518985637
"344","5118","WARD BELT",-34.5813947708363,138.673192605853
"345","5110","WATERLOO CORNER",-34.7117923338389,138.5673393947
"346","5111","EDINBURGH",-34.7191409424652,138.634984367745
"347","5112","ELIZABETH",-34.7202705415068,138.66930924291
"348","5112","ELIZABETH EAST",-34.7260258012852,138.681506133503
"349","5112","ELIZABETH GROVE",-34.7362045529435,138.670310320765
"350","5112","ELIZABETH SOUTH",-34.7410996804397,138.656438340124
"351","5112","ELIZABETH VALE",-34.7489850068033,138.667649666467
"352","5127","WYNN VALE",-34.7994189363675,138.6871439708
"353","5131","HOUGHTON",-34.829945883892,138.755592063122
"354","5131","LOWER HERMITAGE",-34.7967526745201,138.775621618431
"355","5131","UPPER HERMITAGE",-34.7923644944658,138.762165103669
"356","5157","CHERRY GARDENS",-35.069859734823,138.658732552604
"357","5157","CLARENDON",-35.1149147730888,138.630758898134
"358","5157","COROMANDEL EAST",-35.0474061741549,138.649114187368
"359","5157","DORSET VALE",-35.1057622260736,138.705795879924
"360","5159","ABERFOYLE PARK",-35.0705691328341,138.601136317317
"361","5159","CHANDLERS HILL",-35.0865437854621,138.616961839391
"362","5159","FLAGSTAFF HILL",-35.0486440117641,138.585222024593
"363","5159","HAPPY VALLEY",-35.0765899021273,138.575741640974
"364","5160","LONSDALE",-35.1066396702072,138.492335724114
"365","5152","CRAFERS WEST",-34.9955790729833,138.682622107022
"366","5152","STIRLING",-35.0035626330351,138.721824619046
"367","5153","BIGGS FLAT",-35.0726780392112,138.781464794784
"368","5153","BRADBURY",-35.0706092417298,138.725658829215
"369","5153","CHAPEL HILL",-35.0842681174625,138.764484569042
"370","5153","JUPITER CREEK",-35.1180434784137,138.7535254038
"371","5153","LONGWOOD",-35.0418841493965,138.721221944588
"372","5153","MACCLESFIELD",-35.177151009084,138.842663940889
"373","5153","MYLOR",-35.0477878992809,138.757659544467
"374","5153","SCOTT CREEK",-35.0587816699405,138.701377772853
"375","5153","ECHUNGA",-35.0981410925932,138.802890353722
"376","5153","FLAXLEY",-35.1386142428222,138.818220372528
"377","5153","GREEN HILLS RANGE",-35.1661474102171,138.801154317669
"378","5153","HEATHFIELD",-35.02829018347,138.716862639879
"379","5153","IRONBANK",-35.0427936878888,138.687738636981
"380","5157","KANGARILLA",-35.1525979722183,138.670180496852
"381","5157","MCHARG CREEK",-35.2716863113569,138.732507303095
"382","5158","HALLETT COVE",-35.0727481107944,138.510819928071
"383","5158","O'HALLORAN HILL",-35.0571139690277,138.553578076635
"384","5158","SHEIDOW PARK",-35.0792581946306,138.52736678287
"385","5158","TROTT PARK",-35.0713382353998,138.540111155355
"386","5121","PENFIELD GARDENS",-34.6584638165671,138.613245856788
"387","5125","GOLDEN GROVE",-34.7773730624243,138.729067309963
"388","5125","GREENWITH",-34.765190611786,138.710639130505
"389","5126","FAIRVIEW PARK",-34.8004470691662,138.728947979018
"390","5126","SURREY DOWNS",-34.7995185668131,138.711512858112
"391","5126","YATALA VALE",-34.7940155939935,138.740537750748
"392","5150","LEAWOOD GARDENS",-34.9713988250444,138.66966327543
"393","5152","CLELAND",-34.9683084316809,138.695758092826
"394","5152","CRAFERS",-34.988308369974,138.714722846471
"395","5174","SELLICKS BEACH",-35.3308327514307,138.458231166815
"396","5174","SELLICKS HILL",-35.3341513760628,138.484589012389
"397","5161","OLD REYNELLA",-35.0968386609713,138.540447543291
"398","5161","REYNELLA",-35.096578266332,138.52162362549
"399","5161","REYNELLA EAST",-35.088097473654,138.552685415905
"400","5162","MORPHETT VALE",-35.1210179380811,138.527575170902
"401","5162","WOODCROFT",-35.1032185641883,138.562410071272
"402","5163","HACKHAM",-35.1550899722369,138.52442160455
"403","5163","HACKHAM WEST",-35.1423957902965,138.515140396776
"404","5163","HUNTFIELD HEIGHTS",-35.1545430782809,138.514077316029
"405","5163","ONKAPARINGA HILLS",-35.1365484020744,138.566588920586
"406","5164","CHRISTIE DOWNS",-35.1298295236689,138.496341574623
"407","5167","PORT NOARLUNGA",-35.1496882607583,138.476711433551
"408","5167","PORT NOARLUNGA SOUTH",-35.1644081288803,138.475635832728
"409","5168","NOARLUNGA CENTRE",-35.140896150577,138.496112872893
"410","5168","NOARLUNGA DOWNS",-35.1566509073348,138.498451700415
"411","5168","OLD NOARLUNGA",-35.1827231021764,138.503667155053
"412","5169","MOANA",-35.2081199493549,138.473880391336
"413","5165","CHRISTIES BEACH",-35.1347591527177,138.477598886557
"414","5166","O'SULLIVAN BEACH",-35.1210572782806,138.47595086078
"415","5156","UPPER STURT",-35.0252854345858,138.679147043496
"416","5157","ASHBOURNE",-35.3000142312067,138.763599336351
"417","5157","BULL CREEK",-35.2352865546352,138.762193047303
"418","5171","MCLAREN VALE",-35.2102070252901,138.546852619451
"419","5171","TATACHILLA",-35.2369810569164,138.509688691474
"420","5172","DINGABLEDINGA",-35.264538587751,138.63918947585
"421","5172","HOPE FOREST",-35.2828539812166,138.622629596776
"422","5172","KUITPO COLONY",-35.2844587608391,138.694472682761
"423","5172","KYEEMA",-35.2765855996904,138.67504953314
"424","5172","MONTARRA",-35.2630167595916,138.615645947014
"425","5172","PAGES FLAT",-35.3353465630532,138.547710363418
"426","5172","THE RANGE",-35.2392132497167,138.621422550438
"427","5172","WHITES VALLEY",-35.2696339387413,138.517094491743
"428","5172","WILLUNGA",-35.2655032684608,138.568941488886
"429","5172","WILLUNGA HILL",-35.3013985797112,138.588471242122
"430","5172","WILLUNGA SOUTH",-35.2972974878502,138.545095086422
"431","5172","YUNDI",-35.3130477539823,138.631618066295
"432","5173","ALDINGA",-35.2706363734129,138.483564298489
"433","5173","ALDINGA BEACH",-35.2931938092215,138.4583000652
"434","5173","PORT WILLUNGA",-35.2596300758096,138.463700654484
"435","5169","SEAFORD",-35.1858000865194,138.477261325707
"436","5169","SEAFORD HEIGHTS",-35.1979097628961,138.496455079482
"437","5169","SEAFORD MEADOWS",-35.1711991059922,138.487149913149
"438","5169","SEAFORD RISE",-35.2042284441116,138.48486373466
"439","5170","MASLIN BEACH",-35.2323738508874,138.480613145699
"440","5171","BLEWITT SPRINGS",-35.1686789447326,138.594556691518
"441","5171","MCLAREN FLAT",-35.1994360082599,138.612637593337
"442","5950","ADELAIDE AIRPORT",-34.9461552401052,138.530805170774
