POA_CODE_2016,Preschool_M,Preschool_F,Preschool_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infants_Prim_Other_Non_Govt_M,Infants_Prim_Other_Non_Govt_F,Infants_Prim_Other_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tech_Ftime_stud_15_24_yr_M,Tech_Ftime_stud_15_24_yr_F,Tech_Ftime_stud_15_24_yr_P,Tech_Ftime_stud_25_yr_over_M,Tech_Ftime_stud_25_yr_over_F,Tech_Ftime_stud_25_yr_over_P,Tech_Ptime_stud_15_24_yr_M,Tech_Ptime_stud_15_24_yr_F,Tech_Ptime_stud_15_24_yr_P,Tech_Ptime_stud_25_yr_over_M,Tech_Ptime_stud_25_yr_over_F,Tech_Ptime_stud_25_yr_over_P,Tech_Full_Ptime_stud_st_ns_M,Tech_Full_Ptime_stud_st_ns_F,Tech_Full_Ptime_stud_st_ns_P,Tech_Furth_Educ_Instit_Tot_M,Tech_Furth_Educ_Instit_Tot_F,Tech_Furth_Educ_Instit_Tot_P,Uni_oth_Inst_Ft_stu_15_24_M,Uni_oth_Inst_Ft_stu_15_24_F,Uni_oth_Inst_Ft_stu_15_24_P,Uni_oth_Instit_Ft_stu_25_M,Uni_oth_Instit_Ft_stu_25_F,Uni_oth_Instit_Ft_stu_25_P,Uni_oth_Instit_Pt_stu_15_24_M,Uni_oth_Instit_Pt_stu_15_24_F,Uni_oth_Instit_Pt_stu_15_24_P,Uni_oth_Instit_Pt_stu_25_M,Uni_oth_Instit_Pt_stu_25_F,Uni_oth_Instit_Pt_stu_25_P,Uni_oth_Inst_F_Pt_stu_st_ns_M,Uni_oth_Inst_F_Pt_stu_st_ns_F,Uni_oth_Inst_F_Pt_stu_st_ns_P,Uni_oth_Inst_Tot_M,Uni_oth_Inst_Tot_F,Uni_oth_Inst_Tot_P,Oth_type_Edu_inst_Ftime_stu_M,Oth_type_Edu_inst_Ftime_stu_F,Oth_type_Edu_inst_Ftime_stu_P,Oth_type_Edu_inst_Ptime_stu_M,Oth_type_Edu_inst_Ptime_stu_F,Oth_type_Edu_inst_Ptime_stu_P,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_M,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_F,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_P,Oth_type_educ_institut_Tot_M,Oth_type_educ_institut_Tot_F,Oth_type_educ_institut_Tot_P,Type_educ_institution_ns_M,Type_educ_institution_ns_F,Type_educ_institution_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
POA5024,77,79,157,346,321,668,162,154,317,59,69,130,567,539,1110,196,181,382,128,125,252,53,56,107,373,367,743,23,18,43,12,21,29,29,20,48,29,53,83,0,0,0,96,106,207,176,219,398,38,58,94,23,20,46,55,93,140,0,0,0,292,389,681,16,14,28,23,32,52,0,0,0,37,46,80,266,302,570,35,70,107,1745,1904,3644
POA5025,39,31,78,214,181,392,115,127,242,27,21,45,356,330,686,81,83,167,96,127,216,25,29,56,203,236,439,7,8,18,18,14,26,20,8,26,22,33,53,3,0,3,66,62,132,106,138,249,24,33,57,12,17,28,29,32,65,0,0,0,172,226,395,6,10,14,12,15,28,0,0,0,15,29,44,138,171,306,12,17,33,1009,1105,2112
POA5031,45,49,98,190,180,373,74,109,179,36,36,76,301,326,627,88,120,207,64,66,131,42,31,70,194,221,411,25,16,45,36,31,67,14,11,33,34,45,72,0,0,0,109,104,217,292,303,593,146,164,307,22,24,54,71,109,173,0,3,3,537,595,1130,15,20,27,26,17,47,0,0,0,38,41,77,233,259,495,49,72,122,1510,1667,3184
POA5032,88,69,155,255,230,485,166,191,353,46,67,107,457,483,947,120,113,240,121,119,244,42,56,100,285,287,577,33,20,49,30,50,87,26,17,45,49,44,98,0,3,3,141,135,279,229,243,471,88,106,200,18,25,41,35,83,115,0,3,3,376,459,832,19,21,41,24,41,64,0,0,0,40,60,102,260,285,551,46,85,129,1697,1873,3568
POA5033,46,41,84,169,145,314,80,110,196,28,19,45,277,276,558,80,95,175,40,56,97,27,16,40,147,164,310,21,22,43,37,33,72,17,15,27,41,45,81,0,0,0,114,117,228,181,193,375,86,89,177,19,14,30,41,70,103,3,0,3,324,363,689,21,12,33,23,30,54,0,0,0,40,40,82,278,306,586,47,50,92,1264,1368,2629
POA5034,70,69,140,229,224,449,101,99,198,79,98,177,405,420,826,68,72,134,73,62,138,103,121,228,246,254,506,14,13,29,16,22,40,12,3,14,23,39,69,0,0,0,66,84,150,207,293,501,115,111,231,23,28,50,59,96,154,0,3,3,401,535,937,9,20,24,10,28,37,0,0,0,19,46,66,201,199,397,37,46,78,1440,1659,3104
POA5035,46,36,85,177,160,338,39,41,85,30,23,59,253,226,485,59,53,112,24,32,57,34,31,59,113,110,226,20,10,30,23,23,46,15,0,17,22,37,58,0,0,0,74,76,154,124,174,294,65,77,141,7,12,17,44,70,112,0,0,0,243,326,570,12,14,27,20,15,39,0,0,0,31,32,61,190,200,389,34,46,74,987,1050,2036
POA5037,55,61,121,281,251,536,85,90,178,36,33,67,408,370,780,118,122,240,66,67,133,54,46,97,231,236,471,33,22,55,21,28,55,17,12,37,33,53,88,0,4,4,114,118,235,241,305,547,108,135,240,22,23,50,54,63,116,3,0,4,426,525,954,21,21,40,25,29,56,0,0,0,42,53,97,307,394,705,63,79,139,1658,1846,3497
POA5038,95,77,172,338,295,634,140,136,271,68,75,144,546,503,1046,159,169,323,103,91,192,70,61,132,326,318,650,33,35,68,34,57,90,21,14,40,70,72,143,0,0,0,162,180,337,292,301,602,167,198,365,27,32,57,74,127,200,3,4,4,565,669,1227,25,41,64,38,59,100,0,3,3,58,101,162,308,351,660,47,90,139,2108,2284,4397
POA5039,52,60,116,215,244,466,69,85,152,42,43,86,327,375,703,106,103,208,51,70,121,29,30,57,189,197,384,18,22,32,24,26,48,26,14,39,35,38,70,0,0,0,101,99,197,145,189,337,79,63,146,8,21,26,49,72,119,0,4,4,282,346,633,10,17,28,20,30,49,0,0,0,35,47,79,226,227,452,28,36,69,1242,1392,2633
