POA_CODE_2016,people.tier.1.74-199,people.tier.2.200-449,people.tier.3.450-849,people.tier.4.850-1200,avg.rent.per.week
5661,1105.5,0,0,0,78.96428571
5670,2451.5,1272,0,0,132.9821429
5671,1527.5,0,0,0,76.375
5680,12186.5,21034.5,0,0,181.5355191
5690,26162.5,55550,0,0,172.0263158
5700,130607,162500,8993,5375,191.5732087
5701,0,0,0,0,0
5710,6078.5,28915,1498.5,0,258.8085106
5713,0,0,0,0,0
5715,111,0,0,0,37
5717,111,0,0,0,37
5719,185,0,0,0,37
5720,6874.5,636,0,0,139.0833333
5722,2302,636,0,0,122.4166667
5723,21012,11476,0,0,145.0357143
5724,4091.5,0,0,0,61.06716418
5725,57749,104158,7893,2698.5,214.8175592
5730,185,0,0,0,37
5731,3747,0,0,0,46.25925926
5732,3551.5,0,0,0,75.56382979
5733,1055,0,0,0,70.33333333
5734,2394.5,0,0,0,66.51388889
5950,0,0,0,0,0
5960,0,0,0,0,0
