POA_CODE_2016,P_Yr_8_bel_15_19_yr,P_Yr_8_bel_20_24_yr,P_Yr_8_bel_25_34_yr,P_Yr_8_bel_35_44_yr,P_Yr_8_bel_45_54_yr,P_Yr_8_bel_55_64_yr,P_Yr_8_bel_65_74_yr,P_Yr_8_bel_75_84_yr,P_Yr_8_bel_85_yr,P_Yr_8_bel_Tot,P_Did_not_go_to_school_15_19,P_Did_not_go_to_school_20_24,P_Did_not_go_to_school_25_34,P_Did_not_go_to_school_35_44,P_Did_not_go_to_school_45_54,P_Did_not_go_to_school_55_64,P_Did_not_go_to_school_65_74,P_Did_not_go_to_school_75_84,P_Did_not_go_to_school_85,P_Did_not_go_to_school_Tot,P_High_yr_sch_ns_15_19_yr,P_High_yr_sch_ns_20_24_yr,P_High_yr_sch_ns_25_34_yr,P_High_yr_sch_ns_35_44_yr,P_High_yr_sch_ns_45_54_yr,P_High_yr_sch_ns_55_64_yr,P_High_yr_sch_ns_65_74_yr,P_High_yr_sch_ns_75_84_yr,P_High_yr_sch_ns_85_yr,P_High_yr_sch_ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
POA5580,0,0,0,0,0,3,7,3,6,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,11,12,9,37,21,42,63,53,27,12,278
POA5581,0,0,0,0,0,0,12,9,6,28,0,0,0,0,0,0,0,0,0,3,0,0,3,0,6,5,6,10,3,28,4,14,30,24,54,110,142,70,28,480
POA5582,0,0,0,0,0,4,25,5,22,53,0,0,0,0,0,0,0,0,0,0,3,0,0,4,4,15,8,3,3,38,15,13,35,38,84,134,126,61,50,543
POA5583,0,0,0,0,0,4,23,24,11,60,0,0,0,0,0,0,0,0,0,0,3,0,0,8,4,12,15,12,6,63,12,23,38,65,86,139,189,93,25,667
POA5600,3,0,3,7,11,23,59,84,52,243,0,0,4,0,4,0,4,3,3,20,9,10,38,26,65,87,62,76,63,439,128,313,639,781,964,901,606,380,191,4908
POA5601,0,0,0,3,0,3,19,4,0,41,0,0,0,0,0,0,0,0,0,0,0,0,3,6,7,8,12,4,0,39,10,3,19,56,98,84,80,18,0,380
POA5602,0,0,0,0,9,11,33,18,17,94,0,0,0,0,0,0,0,0,0,0,4,9,19,25,41,45,48,7,18,211,28,62,135,165,239,258,254,68,49,1256
POA5603,0,0,0,3,0,3,12,9,4,36,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,19,16,0,0,56,11,16,66,71,100,143,80,17,4,500
POA5604,0,0,0,0,0,3,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,15,3,8,21,18,41,63,49,22,3,232
POA5605,0,0,0,0,4,6,44,57,35,155,0,0,0,0,0,0,0,0,0,0,7,3,13,12,31,29,32,13,27,159,28,59,125,166,239,302,308,179,85,1486
