"","POA_CODE_2016","Total","Total.Male","Total.Female","tier.1.0.14","tier.2.15.19","tier.3.20.54","tier.4.54.100"
"331",5720,354,254,99,14,4,208,120
"332",5722,311,169,140,37,17,121,138
"333",5723,2871,1788,1082,299,76,1470,1025
"334",5724,565,291,273,82,23,284,179
"335",5725,4630,2957,1672,1007,161,2978,476
"336",5730,162,91,74,9,3,51,96
"337",5731,1098,856,247,96,11,740,247
"338",5732,341,223,117,27,3,234,86
"339",5733,456,304,156,44,15,248,150
"340",5734,222,113,111,37,14,124,59
"341",5950,0,0,0,0,0,0,0
"342",5960,5,5,0,0,0,0,0
