POA_CODE_2016,total.people,total.people.male,total.people.female,total.age.0-14,total.age.15-19,total.age.20-54,total.age.54-100,age.predominant.class,age.predominant.class.value,total.family.weekly.income.1-500,total.family.weekly.income.500-1249,total.family.weekly.income.1250-2499,total.family.weekly.income.2500-6000,average.family.weekly.income,averaga.family.weekly.income.class,family.comp.couples.no.children,family.comp.couples.children.under.15y,family.comp.one.parent.children.under.15y,family.com.predominant.class,family.com.predominant.class.value
5201,1905,949,952,345,129,868,560,adults,868,7875,134875,358375,388500,1884.798729,high,492,616,117,family.comp.couples.children.under.15y,616
5202,833,422,410,163,51,364,257,adults,364,6000,57450,154500,94750,1571.356784,medium,213,306,30,family.comp.couples.children.under.15y,306
5203,1235,606,627,188,63,400,587,seniors,587,8900,98600,202250,146500,1562.5,medium,339,305,63,family.comp.couples.no.children,339
5204,2827,1386,1444,344,98,839,1554,seniors,1554,22350,313275,420500,216500,1330.540356,low,1039,499,164,family.comp.couples.no.children,1039
5210,1660,818,843,362,122,714,463,adults,714,9225,123325,365500,218500,1689.976415,high,428,626,101,family.comp.couples.children.under.15y,626
5211,14773,6904,7870,2007,679,4344,7743,seniors,7743,118775,1737175,2092000,1288000,1348.081874,low,5198,3117,878,family.comp.couples.no.children,5198
5212,2074,1012,1065,259,72,573,1168,seniors,1168,16750,246775,256125,163500,1301.238095,low,752,365,101,family.comp.couples.no.children,752
5213,1124,582,541,192,62,434,441,seniors,441,2700,102200,218000,136750,1671.454545,high,319,347,58,family.comp.couples.children.under.15y,347
5214,8018,3833,4186,1004,295,2359,4376,seniors,4376,58575,962400,1030000,537500,1274.483013,low,2864,1571,433,family.comp.couples.no.children,2864
5220,151,75,74,29,3,70,44,adults,70,0,8925,13500,8250,1460.714286,medium,33,56,0,family.comp.couples.children.under.15y,56
5221,342,160,182,51,7,117,152,seniors,152,3750,30325,30875,0,999.2307692,low,92,63,18,family.comp.couples.no.children,92
5222,668,335,330,89,24,235,324,seniors,324,5850,62150,69875,30000,1207.733813,low,195,116,28,family.comp.couples.no.children,195
5223,3772,1933,1838,631,197,1529,1407,adults,1529,24850,284250,549875,340000,1502.474937,medium,919,984,166,family.comp.couples.children.under.15y,984
5231,1177,593,583,193,101,515,368,adults,515,4275,49900,268375,333750,2194.983278,very high,324,403,44,family.comp.couples.children.under.15y,403
5232,424,216,208,57,34,182,136,adults,182,1350,15325,73250,168250,2435.613208,very high,118,101,18,family.comp.couples.no.children,118
5233,1445,716,728,237,107,586,513,adults,586,8250,98000,245500,310250,1859.550562,high,365,450,54,family.comp.couples.children.under.15y,450
5234,1302,656,641,264,113,549,374,adults,549,3150,93650,242000,284750,1948.59375,high,305,472,69,family.comp.couples.children.under.15y,472
5235,2438,1207,1233,423,131,948,934,adults,948,22050,198375,455250,380500,1645.132399,medium,712,730,135,family.comp.couples.children.under.15y,730
5236,296,150,147,40,24,144,91,adults,144,2025,22850,50375,35750,1541.666667,medium,66,80,9,family.comp.couples.children.under.15y,80
5237,340,182,157,65,10,148,102,adults,148,3750,25650,47000,29000,1424.324324,low,85,83,37,family.comp.couples.no.children,85
5238,4116,2074,2042,563,211,1386,1954,seniors,1954,37175,418025,523375,276750,1286.193648,low,1263,878,244,family.comp.couples.no.children,1263
5240,472,251,218,82,35,195,158,adults,195,2400,34800,121500,95500,1828.776978,high,124,165,14,family.comp.couples.children.under.15y,165
5241,2488,1170,1314,504,147,1076,768,adults,1076,10275,190675,465375,437000,1745.767405,high,596,881,138,family.comp.couples.children.under.15y,881
5242,1559,742,809,277,112,660,512,adults,660,3300,94925,288375,454750,2140.839695,very high,384,508,68,family.comp.couples.children.under.15y,508
5243,815,392,420,120,59,352,280,adults,352,2025,49125,117000,313500,2361.029412,very high,220,198,47,family.comp.couples.no.children,220
5244,4117,2076,2046,744,298,1770,1305,adults,1770,17800,254900,757625,826250,1875.328283,high,877,1413,161,family.comp.couples.children.under.15y,1413
5245,3112,1524,1592,490,195,1081,1331,seniors,1331,9000,168575,475125,868250,2169.686163,very high,746,922,94,family.comp.couples.children.under.15y,922
5250,3448,1675,1767,796,254,1516,876,adults,1516,9825,177150,656875,1013750,2154.988399,very high,672,1432,184,family.comp.couples.children.under.15y,1432
5251,14401,6801,7606,2949,991,6505,3958,adults,6505,69975,948600,2681125,2853500,1863.822526,high,2981,4911,1052,family.comp.couples.children.under.15y,4911
5252,6391,3150,3238,1448,478,3133,1344,adults,3133,18550,411350,1386625,1209750,1862.323077,high,1272,2553,401,family.comp.couples.children.under.15y,2553
5253,18469,9223,9249,3189,1156,8328,5806,adults,8328,134225,1623475,2835375,1428250,1415.117509,low,4183,4677,1595,family.comp.couples.children.under.15y,4677
5254,2356,1226,1126,417,180,1037,722,adults,1037,11925,180250,461000,276500,1602.887931,medium,595,783,105,family.comp.couples.children.under.15y,783
5255,9063,4351,4710,1706,590,3560,3212,adults,3560,49000,709875,1693250,1293500,1658.824181,medium,2312,2939,540,family.comp.couples.children.under.15y,2939
5256,1326,659,666,177,57,474,615,seniors,615,14050,128825,186125,119000,1357.575758,low,393,244,88,family.comp.couples.no.children,393
5259,1064,578,491,179,63,452,374,adults,452,10575,90950,144125,93250,1436.016949,low,285,284,65,family.comp.couples.no.children,285
5260,1764,879,885,285,108,663,711,seniors,711,13500,204850,237000,97500,1279.74537,low,483,399,158,family.comp.couples.no.children,483
5261,350,188,162,71,25,151,104,adults,151,4050,18150,81750,23500,1481.976744,medium,91,121,26,family.comp.couples.children.under.15y,121
5262,397,222,174,92,18,174,109,adults,174,3300,30525,86750,46750,1656.683168,medium,99,142,19,family.comp.couples.children.under.15y,142
5263,129,71,55,15,9,53,48,adults,53,0,5550,22000,21250,1952,very high,37,29,0,family.comp.couples.no.children,37
5264,1225,604,620,204,44,432,542,seniors,542,9375,111175,148375,110750,1411.431227,low,346,281,76,family.comp.couples.no.children,346
5265,445,239,204,91,21,195,138,adults,195,3300,36950,67375,13750,1348.611111,low,90,158,26,family.comp.couples.children.under.15y,158
5266,595,332,266,136,32,267,172,adults,267,4275,45000,131375,70750,1687.248322,high,165,242,11,family.comp.couples.children.under.15y,242
5267,1922,988,935,410,109,779,628,adults,779,11475,132950,344375,229500,1610.538117,medium,496,715,65,family.comp.couples.children.under.15y,715
5268,3486,1831,1653,620,217,1571,1081,adults,1571,17875,242750,627500,358500,1600.288832,medium,790,1102,137,family.comp.couples.children.under.15y,1102
5269,244,134,106,49,17,101,85,adults,101,1350,21275,39750,8250,1332.54717,low,53,78,14,family.comp.couples.children.under.15y,78
5270,582,313,274,118,43,257,166,adults,257,2250,35900,126625,125500,1922.350993,high,161,232,0,family.comp.couples.children.under.15y,232
5271,7372,3816,3552,1436,392,3298,2246,adults,3298,41875,510225,1331250,985000,1671.532634,high,1793,2473,363,family.comp.couples.children.under.15y,2473
5272,742,399,345,139,47,305,258,adults,305,3150,52375,160125,115750,1665.326633,high,244,233,33,family.comp.couples.no.children,244
